´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
000825.SZ,Ì«¸Ö²»Ðâ,1998-10-21,N/A,0.6768,0.7269,0.6646,0.6692,79638200,359890332.6,N/A,N/A,4.5191,34.6253,1014300000,N/A,2769480000,230000000,0,628000000,22.6487,5.508,1.4495,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-10-22,0.6692,0.6662,0.6737,0.6419,0.6616,25439200,110637943.2,-0.0076,-1.1338,4.3491,11.0605,1002800000,N/A,2738080000,230000000,0,628000000,22.3919,5.4455,1.4331,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-10-23,0.6616,0.6631,0.6813,0.6525,0.6586,14506600,63526984.4,-0.003,-0.4587,4.3792,6.3072,998200000,N/A,2725520000,230000000,0,628000000,22.2892,5.4206,1.4265,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-10-26,0.6586,0.6586,0.6586,0.6267,0.6343,12359000,52204084,-0.0243,-3.6866,4.224,5.3735,961400000,N/A,2625040000,230000000,0,628000000,21.4675,5.2207,1.3739,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-10-27,0.6343,0.6343,0.6555,0.6313,0.6388,5726300,24171174.9,0.0046,0.7177,4.2211,2.4897,968300000,N/A,2643880000,230000000,0,628000000,21.6216,5.2582,1.3838,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-10-28,0.6388,0.6343,0.6601,0.607,0.6282,4596700,19181920.4,-0.0106,-1.6627,4.173,1.9986,952200000,N/A,2599920000,230000000,0,628000000,21.262,5.1708,1.3608,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-10-29,0.6282,0.6267,0.6297,0.6146,0.6161,7437200,30376808.9,-0.0121,-1.9324,4.0844,3.2336,933800000,N/A,2549680000,230000000,0,628000000,20.8512,5.0709,1.3345,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-10-30,0.6161,0.6146,0.6297,0.6146,0.6176,5766700,23534578.4,0.0015,0.2463,4.0811,2.5073,936100000,N/A,2555960000,230000000,0,628000000,20.9025,5.0833,1.3378,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-02,0.6176,0.6176,0.6191,0.607,0.6085,5528200,22219038.3,-0.0091,-1.4742,4.0192,2.4036,922300000,N/A,2518280000,230000000,0,628000000,20.5944,5.0084,1.3181,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-03,0.6085,0.6085,0.6313,0.607,0.6115,5371700,21848467.8,0.003,0.4988,4.0673,2.3355,926900000,N/A,2530840000,230000000,0,628000000,20.6971,5.0334,1.3246,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-04,0.6115,0.613,0.6191,0.6055,0.607,4910000,19718703.9,-0.0046,-0.7444,4.016,2.1348,920000000,N/A,2512000000,230000000,0,628000000,20.543,4.9959,1.3148,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-05,0.607,0.6085,0.6267,0.607,0.6206,4505600,18219399.7,0.0137,2.25,4.0437,1.959,940700000,N/A,2568520000,230000000,0,628000000,21.0053,5.1083,1.3444,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-06,0.6206,0.6267,0.6313,0.6206,0.6222,5319200,21894706.2,0.0015,0.2445,4.1162,2.3127,943000000,N/A,2574800000,230000000,0,628000000,21.0566,5.1208,1.3476,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-09,0.6222,0.6252,0.6768,0.6237,0.6601,15102900,65251918.5,0.0379,6.0976,4.3205,6.5665,1000500000,N/A,2731800000,230000000,0,628000000,22.3406,5.4331,1.4298,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-10,0.6601,0.6601,0.6677,0.6449,0.654,8466400,36515197.5,-0.0061,-0.9195,4.313,3.681,991300000,N/A,2706680000,230000000,0,628000000,22.1351,5.3831,1.4167,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-11,0.654,0.6525,0.6525,0.6373,0.6434,4622900,19594934.7,-0.0106,-1.6241,4.2387,2.01,975200000,N/A,2662720000,230000000,0,628000000,21.7756,5.2957,1.3937,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-12,0.6434,0.6434,0.6464,0.6297,0.6313,4047700,16941637.9,-0.0121,-1.8868,4.1855,1.7599,956800000,N/A,2612480000,230000000,0,628000000,21.3648,5.1958,1.3674,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-13,0.6313,0.6313,0.6555,0.6252,0.6449,5888800,25115016.1,0.0137,2.1635,4.2649,2.5603,977500000,N/A,2669000000,230000000,0,628000000,21.827,5.3082,1.3969,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-16,0.6449,0.651,0.6722,0.6495,0.6677,12413900,54338283.5,0.0228,3.5294,4.3772,5.3973,1012000000,N/A,2763200000,230000000,0,628000000,22.5973,5.4955,1.4462,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-17,0.6677,0.6677,0.6692,0.6525,0.6616,6953300,30384347.4,-0.0061,-0.9091,4.3698,3.0232,1002800000,N/A,2738080000,230000000,0,628000000,22.3919,5.4455,1.4331,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-18,0.6616,0.6616,0.6753,0.6571,0.6616,8445500,37163477.8,0,0,4.4004,3.672,1002800000,N/A,2738080000,230000000,0,628000000,22.3919,5.4455,1.4331,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-19,0.6616,0.6616,0.6707,0.6601,0.6677,6755800,29706746.6,0.0061,0.9174,4.3972,2.9373,1012000000,N/A,2763200000,230000000,0,628000000,22.5973,5.4955,1.4462,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-20,0.6677,0.6601,0.6692,0.654,0.6555,4699600,20594552.5,-0.0121,-1.8182,4.3822,2.0433,993600000,N/A,2712960000,230000000,0,628000000,22.1865,5.3956,1.4199,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-23,0.6555,0.6555,0.6662,0.654,0.6586,3519500,15319399.5,0.003,0.463,4.3527,1.5302,998200000,N/A,2725520000,230000000,0,628000000,22.2892,5.4206,1.4265,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-24,0.6586,0.6571,0.6677,0.654,0.6586,2154500,9345738.4,0,0,4.3378,0.9367,998200000,N/A,2725520000,230000000,0,628000000,22.2892,5.4206,1.4265,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-25,0.6586,0.6586,0.6586,0.6449,0.6449,2444500,10518390.9,-0.0137,-2.0737,4.3029,1.0628,977500000,N/A,2669000000,230000000,0,628000000,21.827,5.3082,1.3969,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-26,0.6449,0.6419,0.651,0.6358,0.6434,2493300,10537074.5,-0.0015,-0.2353,4.2262,1.084,975200000,N/A,2662720000,230000000,0,628000000,21.7756,5.2957,1.3937,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-27,0.6434,0.6434,0.651,0.6373,0.6479,2699900,11479417.4,0.0046,0.7075,4.2518,1.1739,982100000,N/A,2681560000,230000000,0,628000000,21.9297,5.3331,1.4035,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-30,0.6479,0.6404,0.6479,0.6373,0.6449,2247300,9534923.9,-0.003,-0.4684,4.2428,0.9771,977500000,N/A,2669000000,230000000,0,628000000,21.827,5.3082,1.3969,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-01,0.6449,0.6419,0.6449,0.6404,0.6419,1923900,8140298.4,-0.003,-0.4706,4.2311,0.8365,972900000,N/A,2656440000,230000000,0,628000000,21.7243,5.2832,1.3904,N/A,
